link,MAE,RMSE,R²,Correlation,best_params,cv_MAE_mean,cv_MAE_std,cv_R²_mean,cv_R²_std
path_A,0.06990596016753968,0.14835580946436214,0.595592268575782,0.7723477400092331,"{'max_depth': 8, 'min_samples_leaf': 5, 'n_estimators': 30}",0.15723362175320946,0.0980085720411524,0.16301726163803118,0.5903696782182485
path_B,0.07176615449722999,0.14869935919209323,0.6003575033179109,0.7751019556462891,"{'max_depth': 8, 'min_samples_leaf': 5, 'n_estimators': 30}",0.1337125173958388,0.0755487330298051,0.3536053627061966,0.4599222717747034
