group,flow,avg_loss_pct,avg_jitter_ms,avg_bandwidth_mbps
predictive,Flow 1,17.00,27.131,0.43
predictive,Flow 2,36.00,27.308,0.33
predictive,Flow 3,7.50,41.398,0.48
predictive,Flow 4,7.10,2.330,0.49
predictive,Flow 5,6.80,4.833,0.49
predictive,Flow 6,17.00,23.691,0.43
predictive,Flow 7,6.80,7.321,0.49
predictive,Flow 8,21.00,26.672,0.41
predictive,Flow 9,13.00,27.710,0.46
predictive,Burst Flows,12.47,12.823,1.38
