timestamp,dpid,port_no,utilization,link_label
1779209673,1,4,0.000032,edge_s1_p4
1779209673,1,1,0.000032,s1_p1_edge
1779209673,1,2,0.000032,s1_p2_edge
1779209673,1,3,0.000032,edge_s1_p3
1779209673,3,4,0.000032,edge_s3_p4
1779209673,3,1,0.000032,s3_p1_edge
1779209673,3,2,0.000032,s3_p2_edge
1779209673,3,3,0.000032,edge_s3_p3
1779209673,16,1,0.000032,agg_s16_p1
1779209673,16,4,0.000032,s16_p4_edge
1779209673,16,2,0.000032,agg_s16_p2
1779209673,16,3,0.000032,s16_p3_edge
1779209673,4,1,0.000032,s4_p1_edge
1779209673,4,4,0.000032,edge_s4_p4
1779209673,4,2,0.000032,s4_p2_edge
1779209673,4,3,0.000032,edge_s4_p3
1779209673,2,1,0.000032,s2_p1_edge
1779209673,2,4,0.000032,edge_s2_p4
1779209673,2,2,0.000032,s2_p2_edge
1779209673,2,3,0.000032,edge_s2_p3
1779209673,9,1,0.000032,agg_s9_p1
1779209673,9,4,0.000032,s9_p4_edge
1779209673,9,2,0.000032,agg_s9_p2
1779209673,9,3,0.000032,agg_s9_p3
1779209675,25,1,0.000016,core_s25_p1
1779209675,25,4,0.000016,core_s25_p4
1779209675,25,2,0.000016,core_s25_p2
1779209675,25,3,0.000016,core_s25_p3
1779209675,6,1,0.000016,s6_p1_edge
1779209675,6,4,0.000016,edge_s6_p4
1779209675,6,2,0.000016,s6_p2_edge
1779209675,6,3,0.000016,edge_s6_p3
1779209675,1,4,0.000016,edge_s1_p4
1779209675,1,1,0.000016,s1_p1_edge
1779209675,1,2,0.000016,s1_p2_edge
1779209675,1,3,0.000016,edge_s1_p3
1779209675,20,4,0.000016,core_s20_p4
1779209675,20,1,0.000016,core_s20_p1
1779209675,20,2,0.000016,core_s20_p2
1779209675,20,3,0.000016,core_s20_p3
1779209675,21,4,0.000016,core_s21_p4
1779209675,21,1,0.000016,core_s21_p1
1779209675,21,2,0.000016,core_s21_p2
1779209675,21,3,0.000016,core_s21_p3
1779209675,3,4,0.000016,edge_s3_p4
1779209675,3,1,0.000016,s3_p1_edge
1779209675,3,2,0.000016,s3_p2_edge
1779209675,3,3,0.000016,edge_s3_p3
1779209675,19,1,0.000016,core_s19_p1
1779209675,19,4,0.000016,core_s19_p4
1779209675,8,4,0.000016,edge_s8_p4
1779209675,8,1,0.000016,s8_p1_edge
1779209675,8,2,0.000016,s8_p2_edge
1779209675,8,3,0.000016,edge_s8_p3
1779209675,16,1,0.000016,agg_s16_p1
1779209675,16,4,0.000016,agg_s16_p4
1779209675,16,2,0.000016,agg_s16_p2
1779209675,16,3,0.000016,agg_s16_p3
1779209675,7,1,0.000016,s7_p1_edge
1779209675,7,4,0.000016,edge_s7_p4
1779209675,7,2,0.000016,s7_p2_edge
1779209675,7,3,0.000016,edge_s7_p3
1779209675,2,4,0.000016,edge_s2_p4
1779209675,2,3,0.000016,edge_s2_p3
1779209675,18,4,0.000016,core_s18_p4
1779209675,18,1,0.000016,core_s18_p1
1779209675,18,2,0.000016,core_s18_p2
1779209675,18,3,0.000016,core_s18_p3
1779209675,23,1,0.000016,core_s23_p1
1779209675,23,4,0.000016,core_s23_p4
1779209675,23,2,0.000016,core_s23_p2
1779209675,23,3,0.000016,core_s23_p3
1779209675,5,4,0.000016,edge_s5_p4
1779209675,5,1,0.000016,s5_p1_edge
1779209675,5,2,0.000016,s5_p2_edge
1779209675,5,3,0.000016,edge_s5_p3
1779209675,24,1,0.000016,core_s24_p1
1779209675,24,4,0.000016,core_s24_p4
1779209675,24,2,0.000016,core_s24_p2
1779209675,24,3,0.000016,core_s24_p3
1779209675,32,1,0.000016,core_s32_p1
1779209675,32,4,0.000016,core_s32_p4
1779209675,32,2,0.000016,core_s32_p2
1779209675,32,3,0.000016,core_s32_p3
1779209675,4,4,0.000016,edge_s4_p4
1779209675,4,2,0.000016,s4_p2_edge
1779209675,4,3,0.000016,edge_s4_p3
1779209675,22,1,0.000016,core_s22_p1
1779209675,22,4,0.000016,core_s22_p4
1779209675,22,2,0.000016,core_s22_p2
1779209675,22,3,0.000016,core_s22_p3
1779209675,9,1,0.000016,agg_s9_p1
1779209675,9,4,0.000016,agg_s9_p4
1779209675,9,2,0.000016,agg_s9_p2
1779209675,9,3,0.000016,agg_s9_p3
1779209675,17,4,0.000016,core_s17_p4
1779209675,17,1,0.000016,core_s17_p1
1779209675,17,2,0.000016,core_s17_p2
1779209675,17,3,0.000016,core_s17_p3
1779209680,6,1,0.000010,s6_p1_edge
1779209680,6,4,0.000010,edge_s6_p4
1779209680,6,2,0.000010,s6_p2_edge
1779209680,6,3,0.000010,edge_s6_p3
1779209680,1,4,0.000010,edge_s1_p4
1779209680,1,1,0.000010,s1_p1_edge
1779209680,1,2,0.000010,s1_p2_edge
1779209680,1,3,0.000010,edge_s1_p3
1779209680,20,4,0.000010,core_s20_p4
1779209680,20,1,0.000010,core_s20_p1
1779209680,20,2,0.000010,core_s20_p2
1779209680,20,3,0.000010,core_s20_p3
1779209680,16,1,0.000010,agg_s16_p1
1779209680,16,4,0.000010,agg_s16_p4
1779209680,16,2,0.000010,agg_s16_p2
1779209680,16,3,0.000010,agg_s16_p3
1779209680,3,4,0.000010,edge_s3_p4
1779209680,3,1,0.000010,s3_p1_edge
1779209680,3,2,0.000010,s3_p2_edge
1779209680,3,3,0.000019,edge_s3_p3
1779209680,7,1,0.000010,s7_p1_edge
1779209680,7,4,0.000010,edge_s7_p4
1779209680,7,2,0.000010,s7_p2_edge
1779209680,7,3,0.000010,edge_s7_p3
1779209680,19,1,0.000019,core_s19_p1
1779209680,19,4,0.000019,core_s19_p4
1779209680,19,2,0.000019,core_s19_p2
1779209680,19,3,0.000019,core_s19_p3
1779209680,4,1,0.000019,s4_p1_edge
1779209680,4,4,0.000010,edge_s4_p4
1779209680,4,2,0.000010,s4_p2_edge
1779209680,4,3,0.000019,edge_s4_p3
1779209680,21,4,0.000010,core_s21_p4
1779209680,21,1,0.000010,core_s21_p1
1779209680,21,2,0.000010,core_s21_p2
1779209680,21,3,0.000010,core_s21_p3
1779209680,8,4,0.000010,edge_s8_p4
1779209680,8,1,0.000010,s8_p1_edge
1779209680,8,2,0.000010,s8_p2_edge
1779209680,8,3,0.000010,edge_s8_p3
1779209680,18,4,0.000010,core_s18_p4
1779209680,18,1,0.000010,core_s18_p1
1779209680,18,2,0.000010,core_s18_p2
1779209680,18,3,0.000010,core_s18_p3
1779209680,5,4,0.000010,edge_s5_p4
1779209680,5,1,0.000010,s5_p1_edge
1779209680,5,2,0.000010,s5_p2_edge
1779209680,5,3,0.000010,edge_s5_p3
1779209680,23,1,0.000010,core_s23_p1
1779209680,23,4,0.000010,core_s23_p4
1779209680,23,2,0.000010,core_s23_p2
1779209680,23,3,0.000010,core_s23_p3
1779209680,24,1,0.000010,core_s24_p1
1779209680,24,4,0.000010,core_s24_p4
1779209680,24,2,0.000019,core_s24_p2
1779209680,24,3,0.000019,core_s24_p3
1779209680,32,1,0.000010,core_s32_p1
1779209680,32,4,0.000010,core_s32_p4
1779209680,32,2,0.000019,core_s32_p2
1779209680,32,3,0.000019,core_s32_p3
1779209680,2,1,0.000019,s2_p1_edge
1779209680,2,4,0.000010,edge_s2_p4
1779209680,2,2,0.000019,s2_p2_edge
1779209680,2,3,0.000010,edge_s2_p3
1779209680,17,4,0.000019,core_s17_p4
1779209680,17,1,0.000019,core_s17_p1
1779209680,17,2,0.000019,core_s17_p2
1779209680,17,3,0.000019,core_s17_p3
1779209680,22,1,0.000010,core_s22_p1
1779209680,22,4,0.000010,core_s22_p4
1779209680,22,2,0.000010,core_s22_p2
1779209680,22,3,0.000010,core_s22_p3
1779209680,9,1,0.000010,agg_s9_p1
1779209680,9,4,0.000010,agg_s9_p4
1779209680,9,2,0.000010,agg_s9_p2
1779209680,9,3,0.000019,agg_s9_p3
1779209680,25,1,0.000010,core_s25_p1
1779209680,25,4,0.000010,core_s25_p4
1779209680,25,2,0.000010,core_s25_p2
1779209680,25,3,0.000010,core_s25_p3
1779209685,1,4,0.000010,edge_s1_p4
1779209685,1,1,0.000010,s1_p1_edge
1779209685,1,2,0.000010,s1_p2_edge
1779209685,1,3,0.000010,edge_s1_p3
1779209685,8,4,0.000019,edge_s8_p4
1779209685,8,1,0.000019,s8_p1_edge
1779209685,8,2,0.000019,s8_p2_edge
1779209685,8,3,0.000019,edge_s8_p3
1779209685,3,4,0.000010,edge_s3_p4
1779209685,3,1,0.000010,s3_p1_edge
1779209685,3,2,0.000010,s3_p2_edge
1779209685,3,3,0.000010,edge_s3_p3
1779209685,20,4,0.000010,core_s20_p4
1779209685,20,1,0.000010,core_s20_p1
1779209685,20,2,0.000010,core_s20_p2
1779209685,20,3,0.000010,core_s20_p3
1779209685,16,1,0.000010,agg_s16_p1
1779209685,16,4,0.000010,agg_s16_p4
1779209685,16,2,0.000010,agg_s16_p2
1779209685,16,3,0.000010,agg_s16_p3
1779209685,21,4,0.000010,core_s21_p4
1779209685,21,1,0.000010,core_s21_p1
1779209685,21,2,0.000010,core_s21_p2
1779209685,21,3,0.000019,core_s21_p3
1779209685,24,1,0.000019,core_s24_p1
1779209685,24,4,0.000019,core_s24_p4
1779209685,24,2,0.000010,core_s24_p2
1779209685,24,3,0.000010,core_s24_p3
1779209685,32,1,0.000019,core_s32_p1
1779209685,32,4,0.000019,core_s32_p4
1779209685,32,2,0.000010,core_s32_p2
1779209685,32,3,0.000010,core_s32_p3
1779209685,7,1,0.000010,s7_p1_edge
1779209685,7,4,0.000019,edge_s7_p4
1779209685,7,2,0.000019,s7_p2_edge
