timestamp,dpid,port_no,utilization,link_label
1779372976.0,12,1,0.000000,s12_p1
1779372976.0,12,2,0.060464,s12_p2
1779372976.0,12,3,0.000000,s12_p3
1779372976.0,7,1,0.108857,s7_p1
1779372976.0,7,4,0.000000,s7_p4
1779372976.0,7,2,0.123371,s7_p2
1779372976.0,7,3,0.000000,s7_p3
1779372976.0,4,4,0.000000,s4_p4
1779372976.0,4,1,0.106401,s4_p1
1779372976.0,4,2,0.007255,s4_p2
1779372976.0,4,3,0.043528,s4_p3
1779372976.0,20,1,0.544284,s20_p1
1779372976.0,20,4,0.000000,s20_p4
1779372976.0,20,2,0.302380,s20_p2
1779372976.0,20,3,0.000000,s20_p3
1779372976.0,5,4,0.000272,s5_p4
1779372976.0,5,1,0.000000,s5_p1
1779372976.0,5,2,0.108825,s5_p2
1779372976.0,5,3,0.043802,s5_p3
1779372976.0,18,1,0.217711,s18_p1
1779372976.0,18,4,0.000000,s18_p4
1779372976.0,18,2,0.471706,s18_p2
1779372976.0,18,3,0.000000,s18_p3
1779372976.0,17,4,0.616874,s17_p4
1779372976.0,17,1,0.000000,s17_p1
1779372976.0,17,2,0.544301,s17_p2
1779372976.0,17,3,0.000000,s17_p3
1779372976.0,11,4,0.217707,s11_p4
1779372976.0,11,1,0.149976,s11_p1
1779372976.0,11,2,0.053217,s11_p2
1779372976.0,11,3,0.000000,s11_p3
1779372976.0,16,1,0.108851,s16_p1
1779372976.0,16,4,0.580541,s16_p4
1779372976.0,16,2,0.000000,s16_p2
1779372976.0,16,3,0.000000,s16_p3
1779372976.0,2,1,0.000000,s2_p1
1779372976.0,2,4,0.053209,s2_p4
1779372976.0,2,2,0.108837,s2_p2
1779372976.0,2,3,0.055628,s2_p3
1779372976.0,9,4,0.000000,s9_p4
1779372976.0,9,1,0.043533,s9_p1
1779372976.0,9,2,0.000000,s9_p2
1779372976.0,9,3,0.894836,s9_p3
1779372976.0,19,1,0.000000,s19_p1
1779372976.0,19,4,0.000000,s19_p4
1779372976.0,19,2,0.000000,s19_p2
1779372976.0,19,3,0.000000,s19_p3
1779372976.0,6,1,0.058365,s6_p1
1779372976.0,6,4,0.108419,s6_p4
1779372976.0,6,2,0.000271,s6_p2
1779372976.0,6,3,0.009637,s6_p3
1779372976.0,14,4,0.542370,s14_p4
1779372976.0,14,1,0.147314,s14_p1
1779372976.0,14,2,0.000000,s14_p2
1779372976.0,14,3,0.000000,s14_p3
1779372976.0,1,4,0.147015,s1_p4
1779372976.0,1,1,0.053293,s1_p1
1779372976.0,1,2,0.106044,s1_p2
1779372976.0,1,3,0.012050,s1_p3
1779372976.0,15,4,0.578554,s15_p4
1779372976.0,15,1,0.060266,s15_p1
1779372976.0,15,2,0.000271,s15_p2
1779372976.0,15,3,0.002934,s15_p3
1779372976.0,19,1,0.267009,s19_p1
1779372976.0,19,4,0.004073,s19_p4
1779372976.0,19,2,0.024150,s19_p2
1779372976.0,19,3,0.736578,s19_p3
1779372976.0,10,4,0.000000,s10_p4
1779372976.0,10,1,0.053027,s10_p1
1779372976.0,10,2,0.002952,s10_p2
1779372976.0,10,3,0.763322,s10_p3
1779372976.0,8,4,0.002410,s8_p4
1779372976.0,8,1,0.000271,s8_p1
1779372976.0,8,2,0.000813,s8_p2
1779372976.0,8,3,0.128040,s8_p3
1779372976.0,3,4,0.000271,s3_p4
1779372976.0,3,1,0.009641,s3_p1
1779372976.0,3,2,0.065078,s3_p2
1779372976.0,3,3,0.036696,s3_p3
1779372976.0,17,4,0.060281,s17_p4
1779372976.0,17,1,0.002934,s17_p1
1779372976.0,17,2,0.012056,s17_p2
1779372976.0,17,3,0.001356,s17_p3
1779372976.0,20,1,0.013403,s20_p1
1779372976.0,20,4,0.542189,s20_p4
1779372976.0,20,2,0.000000,s20_p2
1779372976.0,20,3,0.001355,s20_p3
1779372976.0,7,1,0.120476,s7_p1
1779372976.0,7,4,0.000000,s7_p4
1779372976.0,7,2,0.048191,s7_p2
1779372976.0,7,3,0.000542,s7_p3
1779372976.0,12,4,0.002709,s12_p4
1779372976.0,12,1,0.000000,s12_p1
1779372976.0,12,2,0.004819,s12_p2
1779372976.0,12,3,0.266377,s12_p3
1779372976.0,13,1,0.000000,s13_p1
1779372976.0,13,4,0.084279,s13_p4
1779372976.0,13,2,0.058333,s13_p2
1779372976.0,13,3,0.012040,s13_p3
1779372976.0,5,4,0.000000,s5_p4
1779372976.0,5,1,0.147249,s5_p1
1779372976.0,5,2,0.000000,s5_p2
1779372976.0,5,3,0.067465,s5_p3
1779372976.0,2,1,0.000542,s2_p1
1779372976.0,2,4,0.005635,s2_p4
1779372976.0,2,2,0.065413,s2_p2
1779372976.0,2,3,0.057865,s2_p3
1779372976.0,4,4,0.053545,s4_p4
1779372976.0,4,1,0.007228,s4_p1
1779372976.0,4,2,0.053003,s4_p2
1779372976.0,4,3,0.108415,s4_p3
1779372976.0,16,1,0.108485,s16_p1
1779372976.0,16,4,0.012054,s16_p4
1779372976.0,16,2,0.000813,s16_p2
1779372976.0,16,3,0.000000,s16_p3
1779372976.0,18,1,0.855621,s18_p1
1779372976.0,18,4,0.180765,s18_p4
1779372976.0,18,2,0.638703,s18_p2
