group,iteration,flow,loss_pct,jitter_ms,bandwidth_mbps
base,12,Burst Flows,41.08,27.534500000000005,0.9513999999999999
base,13,Flow 1,28.0,8.398,0.343
base,13,Flow 2,93.0,251.767,0.026
base,13,Flow 3,1.9,4.049,0.466
base,13,Flow 4,3.0,7.223,0.461
base,13,Flow 5,29.0,8.472,0.338
base,13,Flow 6,16.0,4.21,0.4
base,13,Flow 7,3.9,7.228,0.457
base,13,Flow 8,6.4,4.73,0.445
base,13,Flow 9,83.0,27.481,0.08009999999999999
base,13,Burst Flows,17.283333333333335,8.754666666666667,1.274
base,14,Flow 1,35.0,9.122,0.308
base,14,Flow 2,50.0,11.208,0.236
base,14,Flow 3,6.6,8.224,0.442
base,14,Flow 4,0.0,8.632,0.473
base,14,Flow 5,33.0,9.492,0.317
base,14,Flow 6,5.4,7.795,0.45
base,14,Flow 7,6.3,8.978,0.444
base,14,Flow 8,90.0,101.245,0.0435
base,14,Flow 9,7.1,7.752,0.44
base,14,Burst Flows,20.73333333333333,9.6005,1.221
base,15,Flow 1,0.039,6.251,0.499
base,15,Flow 2,14.0,5.463,0.431
base,15,Flow 3,25.0,5.197,0.373
base,15,Flow 4,6.2,5.058,0.468
base,15,Flow 5,80.0,11.715,0.1
base,15,Flow 6,5.4,4.844,0.472
base,15,Flow 7,0.039,4.622,0.499
base,15,Flow 8,48.0,5.929,0.261
base,15,Flow 9,32.0,5.236,0.341
base,15,Burst Flows,47.13833333333334,25.154166666666672,0.8166
base,16,Flow 1,7.5,7.273,0.438
base,16,Flow 2,62.0,23.109,0.179
base,16,Flow 3,0.0,6.834,0.474
base,16,Flow 4,0.041,6.872,0.474
base,16,Flow 5,15.0,7.593,0.402
base,16,Flow 6,0.041,6.88,0.473
base,16,Flow 7,1.3,8.063,0.468
base,16,Flow 8,70.0,12.716,0.142
base,16,Flow 9,59.0,10.379,0.193
base,16,Burst Flows,34.666666666666664,49.82983333333333,0.8590000000000001
base,17,Flow 1,80.0,21.385,0.0953
base,17,Flow 2,14.0,8.938,0.408
base,17,Flow 3,2.6,7.613,0.461
base,17,Flow 4,2.0,7.407,0.464
base,17,Flow 5,0.041,7.515,0.473
base,17,Flow 6,60.0,12.37,0.191
base,17,Flow 7,1.2,7.323,0.468
base,17,Flow 8,38.0,10.5,0.294
base,17,Flow 9,0.17,7.266,0.472
base,17,Burst Flows,41.88333333333333,65.21633333333334,0.7601
base,18,Flow 1,6.5,7.225,0.445
base,18,Flow 2,87.0,33.186,0.0605
base,18,Flow 3,0.0,6.979,0.476
base,18,Flow 4,0.98,2.582,0.471
base,18,Flow 5,83.0,25.48,0.0813
base,18,Flow 6,61.0,12.642,0.184
base,18,Flow 7,15.0,7.903,0.407
base,18,Flow 8,92.0,102.914,0.0367
base,18,Flow 9,0.041,3.418,0.476
base,18,Burst Flows,10.693333333333333,11.0605,1.293
base,19,Flow 1,0.0,6.727,0.478
base,19,Flow 2,13.0,7.206,0.416
base,19,Flow 3,87.0,31.633,0.0634
base,19,Flow 4,19.0,8.196,0.387
base,19,Flow 5,52.0,10.504,0.232
base,19,Flow 6,0.16,6.991,0.478
base,19,Flow 7,2.9,6.748,0.465
base,19,Flow 8,36.0,8.619,0.305
base,19,Flow 9,5.8,7.119,0.451
base,19,Burst Flows,39.1,69.62,0.8760999999999999
base,20,Flow 1,19.0,7.918,0.387
base,20,Flow 2,65.0,13.178,0.169
base,20,Flow 3,0.0,7.152,0.478
base,20,Flow 4,0.0,6.778,0.478
base,20,Flow 5,33.0,8.469,0.319
base,20,Flow 6,7.1,7.129,0.444
base,20,Flow 7,0.041,6.773,0.478
base,20,Flow 8,50.0,10.162,0.238
base,20,Flow 9,41.0,9.176,0.282
base,20,Burst Flows,37.333333333333336,17.269,0.9219999999999999
base,21,Flow 1,2.8,6.898,0.465
base,21,Flow 2,15.0,7.667,0.408
base,21,Flow 3,0.0,6.977,0.478
base,21,Flow 4,6.3,7.483,0.448
base,21,Flow 5,3.0,7.876,0.464
base,21,Flow 6,67.0,14.009,0.16
base,21,Flow 7,71.0,15.618,0.139
base,21,Flow 8,56.0,11.452,0.209
base,21,Flow 9,0.98,6.936,0.473
base,21,Burst Flows,26.36666666666667,11.719166666666666,1.1133000000000002
base,22,Flow 1,36.0,8.866,0.334
