group,iteration,flow,loss_pct,jitter_ms,bandwidth_mbps
l2,12,Flow 7,75.0,6.343,0.131
l2,12,Flow 8,90.0,24.431,0.054200000000000005
l2,12,Flow 9,13.0,4.527,0.454
l2,12,Burst Flows,24.316666666666666,14.112833333333334,1.1968
l2,13,Flow 1,3.0,5.474,0.507
l2,13,Flow 2,8.7,5.01,0.478
l2,13,Flow 3,57.0,4.782,0.227
l2,13,Flow 4,34.0,4.282,0.346
l2,13,Flow 5,44.0,4.458,0.293
l2,13,Flow 6,8.3,5.236,0.48
l2,13,Flow 7,82.0,8.614,0.0943
l2,13,Flow 8,26.0,4.546,0.385
l2,13,Flow 9,3.4,5.582,0.505
l2,13,Burst Flows,28.516666666666666,5.86,1.1431
l2,14,Flow 1,3.1,4.084,0.507
l2,14,Flow 2,41.0,4.424,0.311
l2,14,Flow 3,14.0,0.865,0.451
l2,14,Flow 4,2.8,1.232,0.509
l2,14,Flow 5,76.0,8.822,0.125
l2,14,Flow 6,42.0,4.22,0.303
l2,14,Flow 7,0.63,1.178,0.52
l2,14,Flow 8,89.0,19.363,0.0584
l2,14,Flow 9,3.8,3.934,0.504
l2,14,Burst Flows,50.36666666666667,48.098333333333336,0.771
l2,15,Flow 1,2.5,2.987,0.51
l2,15,Flow 2,12.0,2.935,0.458
l2,15,Flow 3,73.0,6.444,0.139
l2,15,Flow 4,57.0,4.658,0.226
l2,15,Flow 5,82.0,8.645,0.09609999999999999
l2,15,Flow 6,24.0,4.175,0.397
l2,15,Flow 7,6.2,4.179,0.491
l2,15,Flow 8,35.0,2.704,0.339
l2,15,Flow 9,3.4,4.05,0.506
l2,15,Burst Flows,17.771666666666665,5.462166666666666,1.31
l2,16,Flow 1,20.0,4.69,0.419
l2,16,Flow 2,61.0,9.93,0.204
l2,16,Flow 3,15.0,2.524,0.444
l2,16,Flow 4,8.9,2.26,0.477
l2,16,Flow 5,42.0,4.263,0.304
l2,16,Flow 6,1.7,2.291,0.514
l2,16,Flow 7,80.0,8.446,0.105
l2,16,Flow 8,87.0,7.32,0.0678
l2,16,Flow 9,3.8,4.679,0.503
l2,16,Burst Flows,17.683333333333334,4.645666666666666,1.3076
l2,17,Flow 1,37.0,4.65,0.331
l2,17,Flow 2,2.8,1.175,0.508
l2,17,Flow 3,6.2,4.156,0.491
