group,iteration,flow,loss_pct,jitter_ms,bandwidth_mbps
threshold,12,Flow 1,8.7,25.136,0.478
threshold,12,Flow 2,16.0,26.185,0.442
threshold,12,Flow 3,6.2,25.892,0.491
threshold,12,Flow 4,4.3,41.408,0.501
threshold,12,Flow 5,16.0,27.497,0.438
threshold,12,Flow 6,22.0,31.159,0.406
threshold,12,Flow 7,16.0,22.579,0.438
threshold,12,Flow 8,32.0,31.987,0.355
threshold,12,Flow 9,6.9,36.846,0.487
threshold,12,Flow 4 (burst),15.916666666666666,34.09766666666667,1.332
threshold,13,Flow 1,5.9,26.497,0.494
threshold,13,Flow 2,21.0,38.356,0.416
threshold,13,Flow 3,17.0,26.44,0.433
threshold,13,Flow 4,34.0,39.102,0.345
threshold,13,Flow 5,27.0,38.147,0.382
threshold,13,Flow 6,17.0,23.793,0.432
threshold,13,Flow 7,23.0,32.721,0.405
threshold,13,Flow 8,9.0,23.727,0.476
threshold,13,Flow 9,4.6,29.063,0.501
threshold,13,Flow 4 (burst),14.783333333333333,39.8895,1.3519999999999999
threshold,14,Flow 1,5.0,12.507,0.497
threshold,14,Flow 2,20.0,46.052,0.42
threshold,14,Flow 3,29.0,37.224,0.372
threshold,14,Flow 4,19.0,37.879,0.424
threshold,14,Flow 5,15.0,15.723,0.445
threshold,14,Flow 6,8.6,15.516,0.478
threshold,14,Flow 7,30.0,37.581,0.368
threshold,14,Flow 8,47.0,38.638,0.28
threshold,14,Flow 9,10.0,43.2,0.474
threshold,14,Flow 4 (burst),20.55,45.08283333333333,1.269
threshold,15,Flow 1,7.7,31.137,0.484
threshold,15,Flow 2,12.0,28.682,0.461
threshold,15,Flow 3,12.0,22.594,0.461
threshold,15,Flow 4,13.0,27.357,0.454
threshold,15,Flow 5,20.0,25.556,0.421
threshold,15,Flow 6,14.0,30.098,0.449
threshold,15,Flow 7,10.0,23.526,0.47
threshold,15,Flow 8,16.0,25.646,0.439
threshold,15,Flow 9,7.2,39.979,0.486
threshold,15,Flow 4 (burst),10.6,32.386833333333335,1.423
threshold,16,Flow 1,15.0,35.903,0.446
threshold,16,Flow 2,10.0,29.822,0.471
threshold,16,Flow 3,6.2,20.564,0.491
threshold,16,Flow 4,3.8,23.413,0.505
threshold,16,Flow 5,19.0,31.343,0.422
threshold,16,Flow 6,14.0,14.409,0.451
threshold,16,Flow 7,18.0,21.119,0.431
threshold,16,Flow 8,25.0,21.466,0.392
threshold,16,Flow 9,4.4,29.488,0.5
threshold,16,Flow 4 (burst),15.066666666666668,37.58566666666667,1.344
threshold,17,Flow 1,3.0,26.452,0.508
threshold,17,Flow 2,3.4,24.992,0.506
threshold,17,Flow 3,9.0,27.462,0.476
threshold,17,Flow 4,9.7,18.501,0.473
threshold,17,Flow 5,5.9,26.081,0.492
threshold,17,Flow 6,8.8,20.918,0.477
threshold,17,Flow 7,7.8,26.567,0.483
threshold,17,Flow 8,12.0,15.497,0.459
threshold,17,Flow 9,3.4,28.22,0.507
threshold,17,Flow 4 (burst),14.583333333333334,31.625333333333334,1.351
threshold,18,Flow 1,3.8,41.024,0.505
threshold,18,Flow 2,7.0,34.194,0.487
threshold,18,Flow 3,19.0,27.222,0.425
threshold,18,Flow 4,21.0,29.774,0.413
threshold,18,Flow 5,9.0,38.382,0.477
threshold,18,Flow 6,18.0,26.965,0.432
threshold,18,Flow 7,15.0,37.2,0.445
threshold,18,Flow 8,13.0,29.864,0.456
threshold,18,Flow 9,2.5,36.215,0.512
threshold,18,Flow 4 (burst),16.233333333333334,36.204,1.323
threshold,19,Flow 1,12.0,34.703,0.461
threshold,19,Flow 2,77.0,60.834,0.119
threshold,19,Flow 3,0.71,0.541,0.521
threshold,19,Flow 4,56.0,44.353,0.231
threshold,19,Flow 5,58.0,44.895,0.222
threshold,19,Flow 6,54.0,44.989,0.238
threshold,19,Flow 7,67.0,47.962,0.175
threshold,19,Flow 8,60.0,51.208,0.207
threshold,19,Flow 9,4.6,33.839,0.504
threshold,19,Flow 4 (burst),18.103333333333335,23.043000000000003,1.3081
threshold,20,Flow 1,5.8,27.226,0.494
threshold,20,Flow 2,4.8,30.671,0.499
threshold,20,Flow 3,11.0,31.966,0.464
threshold,20,Flow 4,3.2,31.422,0.507
threshold,20,Flow 5,31.0,23.956,0.361
threshold,20,Flow 6,12.0,28.955,0.463
threshold,20,Flow 7,9.6,22.572,0.474
threshold,20,Flow 8,16.0,28.597,0.438
threshold,20,Flow 9,3.5,43.112,0.505
threshold,20,Flow 4 (burst),16.183333333333334,30.576166666666666,1.326
