group,flow,avg_loss_pct,avg_jitter_ms,avg_bandwidth_mbps
threshold,Flow 1,21.49,31.760,0.39
threshold,Flow 2,27.48,29.722,0.36
threshold,Flow 3,9.33,32.840,0.45
threshold,Flow 4,11.74,31.527,0.44
threshold,Flow 5,16.05,33.523,0.42
threshold,Flow 6,17.40,29.534,0.41
threshold,Flow 7,15.61,34.088,0.42
threshold,Flow 8,22.77,32.375,0.39
threshold,Flow 9,12.99,28.275,0.44
threshold,Burst Flows,16.76,33.164,1.27
