group,iteration,flow,loss_pct,jitter_ms,bandwidth_mbps
predictive,12,Flow 2,25.0,30.083,0.393
predictive,12,Flow 3,7.8,12.353,0.483
predictive,12,Flow 4,10.0,32.945,0.47
predictive,12,Flow 5,7.4,12.114,0.485
predictive,12,Flow 6,31.0,27.362,0.359
predictive,12,Flow 7,15.0,35.53,0.447
predictive,12,Flow 8,18.0,8.299,0.429
predictive,12,Flow 9,8.7,33.923,0.478
predictive,12,Burst Flows,16.766666666666666,27.430166666666665,1.3199999999999998
predictive,13,Flow 1,4.5,14.249,0.479
predictive,13,Flow 2,12.0,25.698,0.44
predictive,13,Flow 3,3.4,13.765,0.484
predictive,13,Flow 4,10.0,25.552,0.448
predictive,13,Flow 5,19.0,26.196,0.403
predictive,13,Flow 6,18.0,24.885,0.412
predictive,13,Flow 7,5.6,29.379,0.472
predictive,13,Flow 8,6.9,9.432,0.467
predictive,13,Flow 9,2.7,8.605,0.488
predictive,13,Burst Flows,10.155,22.68083333333333,1.4269999999999998
predictive,14,Flow 1,27.0,26.825,0.382
predictive,14,Flow 2,4.3,4.12,0.502
predictive,14,Flow 3,6.3,6.517,0.491
predictive,14,Flow 4,6.5,5.204,0.491
predictive,14,Flow 5,12.0,18.727,0.461
predictive,14,Flow 6,13.0,28.036,0.457
predictive,14,Flow 7,13.0,15.151,0.454
predictive,14,Flow 8,6.8,7.649,0.489
predictive,14,Flow 9,21.0,28.295,0.413
predictive,14,Burst Flows,12.0,21.420666666666666,1.3949999999999998
predictive,15,Flow 1,6.5,31.629,0.489
predictive,15,Flow 2,15.0,26.89,0.442
predictive,15,Flow 3,5.9,31.102,0.492
predictive,15,Flow 4,6.8,16.641,0.488
predictive,15,Flow 5,8.0,18.65,0.481
predictive,15,Flow 6,10.0,31.363,0.473
predictive,15,Flow 7,9.1,20.257,0.477
predictive,15,Flow 8,28.0,19.441,0.377
predictive,15,Flow 9,19.0,16.469,0.427
predictive,15,Burst Flows,15.26,21.089499999999997,1.347
predictive,16,Flow 1,8.5,17.149,0.479
predictive,16,Flow 2,7.7,16.354,0.483
predictive,16,Flow 3,11.0,14.503,0.465
predictive,16,Flow 4,6.9,15.469,0.489
predictive,16,Flow 5,6.7,16.113,0.488
predictive,16,Flow 6,24.0,15.675,0.395
predictive,16,Flow 7,5.4,18.695,0.495
predictive,16,Flow 8,24.0,15.491,0.397
predictive,16,Flow 9,5.4,25.263,0.497
predictive,16,Burst Flows,18.95,19.493333333333332,1.2790000000000001
predictive,17,Flow 1,15.0,9.582,0.429
predictive,17,Flow 2,15.0,20.504,0.428
predictive,17,Flow 3,4.6,22.717,0.478
predictive,17,Flow 4,15.0,26.397,0.427
predictive,17,Flow 5,8.0,21.941,0.461
predictive,17,Flow 6,8.7,19.287,0.459
predictive,17,Flow 7,8.7,15.561,0.458
