timestamp,dpid,port3_weight,port4_weight
1779797551.1145527,10,33,66
1779797551.1145716,11,34,65
1779797551.615882,9,6,93
1779797551.6159763,10,55,44
1779797551.615996,13,36,63
1779797551.6160097,14,55,44
1779797552.1170113,10,83,16
1779797552.1171079,11,45,54
1779797552.1171274,15,39,60
1779797552.618683,9,50,49
1779797552.618769,13,41,58
1779797553.1198432,10,62,37
1779797553.1199334,11,35,64
1779797553.1199596,14,62,37
1779797553.1199782,15,47,52
1779797553.6213834,9,5,94
1779797553.6214738,10,67,32
1779797553.6214924,11,42,57
1779797553.6215055,14,55,44
1779797554.123073,10,79,20
1779797554.12316,13,33,66
1779797554.1231773,14,50,49
1779797554.1231914,15,39,60
1779797554.624396,9,59,40
1779797554.624499,10,72,27
1779797554.624518,13,46,53
1779797554.6245315,14,57,42
1779797555.1252618,10,46,53
1779797555.1253607,11,36,63
1779797555.1253817,15,49,50
1779797555.6261113,9,8,91
1779797555.6261919,10,84,15
1779797555.6262093,11,46,53
1779797555.6262224,13,35,64
1779797556.1278038,10,51,48
1779797556.1278903,11,35,64
1779797556.1279085,14,50,49
1779797556.1279225,15,36,63
1779797556.6294959,9,63,36
1779797556.6295946,13,48,51
1779797556.6296136,15,44,55
1779797557.1310225,10,91,8
1779797557.1311033,13,41,58
1779797557.1311219,14,59,40
1779797557.6322584,9,5,94
1779797557.6323502,11,42,57
1779797557.6323695,13,31,68
1779797558.1330004,10,56,43
1779797558.1330812,13,43,56
1779797558.6339762,9,55,44
1779797558.6340678,10,36,63
1779797558.634091,11,35,64
1779797559.13568,9,63,36
1779797559.1357849,10,74,25
1779797559.6370552,9,17,82
1779797559.6371324,11,45,54
1779797559.6371508,13,34,65
1779797559.637165,15,50,50
1779797560.1384962,9,5,94
1779797560.138599,10,84,15
1779797560.138621,15,39,60
1779797560.6402655,9,11,88
1779797560.640355,11,40,59
1779797561.1419232,9,63,36
1779797561.1420083,10,49,50
1779797561.14203,11,34,65
1779797561.1420455,13,44,55
1779797561.1420596,15,47,52
1779797562.1446788,9,9,90
1779797562.144775,10,38,61
1779797562.1447954,13,36,63
1779797562.1448116,14,53,46
1779797562.6464562,15,37,62
1779797563.148071,9,44,55
1779797563.1481678,10,70,29
1779797563.1481886,11,40,59
1779797563.1482036,13,46,53
1779797563.1482177,15,43,56
1779797566.3978677,9,62,37
1779797566.397981,13,40,59
1779797566.3980038,14,61,38
1779797566.899322,9,39,60
1779797566.899421,10,54,45
1779797567.400548,9,8,91
1779797567.400638,10,91,8
1779797567.4006622,11,47,52
1779797567.4006815,13,34,65
1779797567.901925,9,41,58
1779797568.4028196,9,61,38
1779797568.4029198,10,48,51
1779797568.4029422,11,36,63
1779797568.4029584,13,45,54
1779797568.402973,15,50,50
1779797568.9047449,9,33,66
1779797568.9049048,10,39,60
1779797569.406052,9,7,92
1779797569.4061508,11,50,50
1779797569.406171,14,50,50
1779797569.9071429,9,46,53
1779797569.90722,10,84,15
1779797569.9072394,14,55,44
1779797569.9072537,15,42,57
1779797570.4084566,9,60,39
1779797570.4085317,11,40,59
1779797570.408551,14,61,38
1779797570.9092538,10,70,29
1779797570.9093456,15,50,50
1779797571.4102216,9,11,88
1779797571.4103673,10,61,38
1779797571.4104128,13,36,63
1779797571.9117305,10,85,14
1779797571.9118185,15,43,56
1779797572.4126554,9,60,39
1779797572.4127643,13,42,57
1779797572.9151492,10,51,48
1779797572.9154282,15,50,50
1779797573.4169164,9,11,88
1779797573.4170017,10,41,58
1779797573.417022,14,56,43
1779797573.918769,10,91,8
1779797573.918848,13,30,69
1779797573.918868,15,36,63
1779797574.4202178,9,64,35
1779797574.4203117,10,82,17
1779797574.4203331,11,46,53
1779797574.420353,13,47,52
1779797574.420366,15,42,57
1779797574.9219537,10,52,47
1779797574.9220521,11,35,64
1779797574.922093,14,62,37
1779797574.9221337,15,50,50
1779797575.4235446,9,7,92
1779797575.4236403,10,43,56
1779797575.4236603,13,40,59
1779797575.4236743,14,55,44
1779797575.9251256,10,92,7
1779797575.9253583,11,45,54
1779797575.925383,13,30,69
1779797575.9253995,15,34,65
1779797576.4269555,9,43,56
1779797576.4270504,10,85,14
1779797576.42707,13,42,57
1779797576.4271193,15,39,60
1779797576.9278686,9,62,37
1779797576.927955,10,68,31
1779797576.927975,11,37,62
1779797576.927989,14,64,35
1779797576.9280024,15,46,53
1779797577.4294374,9,23,76
1779797577.42951,10,40,59
1779797577.4295342,14,56,43
1779797577.9312017,9,6,93
1779797577.931286,10,85,14
1779797577.931306,11,47,52
1779797577.931321,13,29,70
1779797577.9313347,15,39,60
1779797578.4325986,9,21,78
1779797578.4326758,13,36,63
1779797578.9334257,9,44,55
1779797578.933515,10,52,47
1779797578.9335353,11,33,66
1779797578.93355,13,44,55
1779797579.4354472,9,58,41
1779797579.4355774,10,37,62
1779797579.4356122,15,44,55
1779797579.937769,9,35,64
1779797579.9378812,10,89,10
1779797579.937915,11,42,57
1779797579.9379504,13,33,66
1779797579.9379842,15,37,62
1779797580.439348,10,79,20
1779797580.4394338,15,45,54
1779797580.9405134,9,43,56
1779797580.9406834,10,39,60
1779797580.9407432,13,43,56
1779797581.9429657,9,30,69
1779797581.9431145,10,75,24
1779797582.4441502,9,46,53
1779797582.4442441,10,69,30
1779797582.444263,11,47,52
1779797582.4442778,13,50,49
1779797582.9454932,10,45,54
1779797583.447123,11,42,57
1779797584.9501412,10,53,46
